127.0.0.1, 2020-07-12 22:17:37, GET, /cart_form.html, HTTP/1.1, 200, 0.018855
127.0.0.1, 2020-07-12 22:17:37, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000347
127.0.0.1, 2020-07-12 22:17:37, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.010347
127.0.0.1, 2020-07-12 22:17:37, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.020083
127.0.0.1, 2020-07-12 22:17:37, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011120
127.0.0.1, 2020-07-12 22:17:41, GET, /show_cart, HTTP/1.1, 200, 0.020520
127.0.0.1, 2020-07-12 22:17:41, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000419
127.0.0.1, 2020-07-12 22:17:41, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012373
127.0.0.1, 2020-07-12 22:17:41, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.018560
127.0.0.1, 2020-07-12 22:17:41, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012076
127.0.0.1, 2020-07-12 22:17:41, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.012789
127.0.0.1, 2020-07-12 22:17:43, GET, /delete_cart, HTTP/1.1, 200, 0.016716
127.0.0.1, 2020-07-12 22:17:43, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000394
127.0.0.1, 2020-07-12 22:17:43, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.011286
127.0.0.1, 2020-07-12 22:17:43, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.019587
127.0.0.1, 2020-07-12 22:17:43, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.014060
127.0.0.1, 2020-07-12 22:17:43, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.011794
127.0.0.1, 2020-07-12 22:17:54, GET, /customer/customer_registration, HTTP/1.1, 200, 0.019674
127.0.0.1, 2020-07-12 22:17:54, GET, /marisacatto/static/css/jumbotron.css, HTTP/1.1, 404, 0.000484
127.0.0.1, 2020-07-12 22:17:54, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.010132
127.0.0.1, 2020-07-12 22:17:54, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.009409
127.0.0.1, 2020-07-12 22:17:54, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.012487
